MSSubClass,MSZoning,LotFrontage,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,YrSold,SalePrice,price_per_sqft,room_ratio,lot_to_sqft_ratio,avg_room_size,total_living_area
8,2,8.06225774829855,0.10673786182132936,4,7.0,5.0,0.8002327311981869,0.7301995178180224,7,10,196.0,2,2,2,2,706.0,150.0,-0.5878430196616042,0,856.0,854.0,0.8033808205942087,1.0,0.8061237684104074,1.0,0.33228487922696837,2,8.0,0.0,3,0,2003.0,2,2.0,548.0,0.0,61.0,2008.0,12.247694320220994,0.007162394339310522,1.5,0.005287673520673227,342.0,2566.0
8,2,8.246211251235321,0.7202826211022512,4,7.0,5.0,0.7177715349393939,0.6786895199286975,7,10,162.0,2,2,2,2,486.0,434.0,-0.3753559702658448,0,920.0,866.0,1.0045852242947255,1.0,0.8061237684104074,1.0,0.33228487922696837,2,6.0,1.0,5,0,2001.0,2,2.0,608.0,0.0,42.0,2008.0,12.31716669303576,0.006896509906514983,1.5,0.005222913442123497,357.2,2706.0
8,2,9.16515138991168,1.2285448331090492,14,8.0,5.0,0.6765409368099975,0.5756695241500477,7,10,350.0,2,2,2,2,655.0,490.0,0.3716688127661221,0,1145.0,1053.0,2.0953248864606855,1.0,0.8061237684104074,1.0,1.8820823237465014,2,9.0,1.0,5,0,2000.0,2,3.0,836.0,192.0,84.0,2008.0,12.429216196844383,0.005654784438964687,2.0,0.004351780570504225,366.3333333333333,3343.0
4,2,8.660254037844387,0.4857175690238423,20,8.0,5.0,0.8414633293275834,0.8332195135966722,7,10,186.0,2,2,0,2,1369.0,317.0,2.167848402189651,0,1694.0,0.0,0.7610219987625209,1.0,0.8061237684104074,0.0,0.33228487922696837,2,7.0,1.0,2,0,2004.0,2,2.0,636.0,255.0,57.0,2007.0,12.634603026569334,0.007458443345082251,1.5,0.0054419747864863114,338.8,3380.0
4,2,8.366600265340756,0.7107336092189739,18,5.0,5.0,-0.7665299977188792,-1.2271804019763242,3,4,0.0,3,1,3,4,906.0,134.0,0.02305724735120423,0,1040.0,0.0,-0.9703948436077162,1.0,-1.1907886371539629,0.0,0.33228487922696837,3,5.0,0.0,3,3,1965.0,3,1.0,384.0,0.0,0.0,2008.0,11.771436160121729,0.011318688615501662,3.0,0.008965066401233832,260.0,2080.0
4,2,9.539392014169456,0.603190029057957,4,7.0,5.0,0.9239245255863764,0.9362395093753221,7,10,306.0,2,2,2,5,0.0,1494.0,1.5303872540023729,0,1494.0,0.0,0.2315367258664239,0.0,0.8061237684104074,0.0,0.33228487922696837,2,7.0,1.0,2,0,2006.0,2,3.0,840.0,160.0,33.0,2007.0,12.540757571577291,0.008394081373211038,1.5,0.006207163953770966,298.8,2988.0
4,2,8.12403840463596,1.1418781545342407,19,5.0,5.0,0.8414633293275834,0.7817095157073473,7,10,0.0,3,2,3,2,646.0,468.0,0.2687453982150511,0,1114.0,0.0,-0.7744852926361604,1.0,-1.1907886371539629,1.0,0.33228487922696837,2,6.0,0.0,3,3,2004.0,3,2.0,576.0,0.0,102.0,2008.0,11.976659481202368,0.010751040826932108,3.0,0.008550077272618651,278.5,2228.0
4,2,8.366600265340756,-0.1318512909594821,11,5.0,6.0,-1.0551441846246545,-1.2271804019763242,1,7,0.0,3,1,3,3,504.0,525.0,-0.013463964263691928,3,1339.0,0.0,-0.17881436062805126,0.0,-1.1907886371539629,0.0,0.33228487922696837,3,6.0,0.0,3,0,1958.0,3,1.0,294.0,0.0,0.0,2009.0,11.842229212112828,0.008844084549748192,3.0,0.006669623950092292,334.75,2368.0
0,3,6.6332495807108,-1.3797036017729718,9,5.0,7.0,-0.3129934182955179,-0.6605704251937502,2,3,0.0,3,2,2,2,840.0,200.0,0.02305724735120423,3,1060.0,0.0,-0.9174463163181066,1.0,-1.1907886371539629,0.0,0.33228487922696837,3,6.0,1.0,5,0,1976.0,3,2.0,572.0,100.0,110.0,2007.0,11.77452020265869,0.0111080379270365,3.0,0.007875979080552922,265.0,2100.0
4,2,9.899494936611665,0.7632948800758617,15,8.0,5.0,0.9651551237157728,0.9877495072646469,7,10,200.0,2,2,0,2,1218.0,486.0,2.2276103848322086,0,1704.0,0.0,0.7874962624073257,1.0,0.8061237684104074,0.0,0.33228487922696837,2,7.0,1.0,2,0,2008.0,2,3.0,772.0,0.0,50.0,2010.0,12.631340380934517,0.007412758439515562,1.5,0.0054860254921762375,340.8,3408.0
